mon0_tatal_stall_0_0,mon0_all_dram_rds_0_0,mon0_l2stall_0_0,mon0_snoop_fw_wb_0_0,mon0_llcl_hits_0_0,mon0_llcl_miss_0_0,mon0_null_0_0,mon0_null_0_0
18446744073709546020,18446744073709546460,18446744073709549958,0,18446744073709551362,18446744073709551602,0,0
266707,53759,61780,0,3475,159,0,0
266707,53759,61780,0,3475,159,0,0
947191,215702,211737,0,33879,447,0,0
947191,215702,211737,0,33879,447,0,0
1538730,357258,333949,0,50053,1484,0,0
1538730,357258,333949,0,50053,1484,0,0
1948374,502166,412163,0,71393,2843,0,0
1948374,502166,412163,0,71393,2843,0,0
2650923,798951,564374,0,120366,4234,0,0
2650923,798951,564374,0,120366,4234,0,0
3045826,985103,706201,0,146503,4388,0,0
3045826,985103,706201,0,146503,4388,0,0
3553466,1185547,824178,0,174887,4609,0,0
3553466,1185547,824178,0,174887,4609,0,0
4201207,1508922,987173,0,215153,5922,0,0
4201207,1508922,987173,0,215153,5922,0,0
4616848,1703048,1075014,0,241363,6044,0,0
4616848,1703048,1075014,0,241363,6044,0,0
5209708,2017312,1197428,0,277658,20237,0,0
5209708,2017312,1197428,0,277658,20237,0,0
5729117,2240082,1341413,0,305353,26216,0,0
5729117,2240082,1341413,0,305353,26216,0,0
6162678,2348675,1493124,0,318055,26702,0,0
6162678,2348675,1493124,0,318055,26702,0,0
6562833,2495603,1677011,0,344607,26938,0,0
6562833,2495603,1677011,0,344607,26938,0,0
6939175,2621102,1814179,0,360273,26961,0,0
6939175,2621102,1814179,0,360273,26961,0,0
7714868,2781759,2070185,0,391170,27575,0,0
7714868,2781759,2070185,0,391170,27575,0,0
8254609,2956828,2215566,0,413874,27902,0,0
8254609,2956828,2215566,0,413874,27902,0,0
8665476,3120804,2352406,0,437577,27939,0,0
8665476,3120804,2352406,0,437577,27939,0,0
9055236,3275439,2558567,0,458063,28518,0,0
9055236,3275439,2558567,0,458063,28518,0,0
9537156,3426231,2686487,0,482905,28528,0,0
