size,time
1,1048737835
2,1261430489
4,1217230420
8,1155898924
16,1178490971
32,1162059387
64,1144337797
128,1137676847
256,1081512329
1,1049778359
2,1259543195
4,1222345073
8,1159567984
16,1177129619
32,1161811030
64,1145293007
128,1139040020
256,1070940776
1,1048873594
2,1257622604
4,1223366626
8,1160380344
16,1176974556
32,1162813799
64,1143783048
128,1138966258
256,1080550313
1,1048910868
2,1260585380
4,1203427770
8,1156969325
16,1177880053
32,1161796438
64,1143429916
128,1138157179
256,1080134956
1,1049662795
2,1259753771
4,1217852163
8,1160169724
16,1178154008
32,1161780436
64,1143796105
128,1136426645
256,1079912228
1,1049966686
2,1260657104
4,1229822294
8,1155478354
16,1178524404
32,1161790242
64,1144159436
128,1138932224
256,1080563779
1,1048309583
2,1261375793
4,1201614146
8,1155850040
16,1177326504
32,1161665899
64,1144480995
128,1137909617
256,1080288555
1,1048513387
2,1257621222
4,1214372261
8,1161292922
16,1177848317
32,1162872226
64,1143150419
128,1137509884
256,1079885449
1,1049660443
2,1255226882
4,1204265205
8,1160272954
16,1181150066
32,1161733332
64,1142800671
128,1137130221
256,1079202835
1,1048682256
2,1262526531
4,1208780859
8,1155295449
16,1177427331
32,1162433266
64,1144583922
128,1137391712
256,1080982822
1,1049525894
2,1288726182
4,1204626727
8,1160525294
16,1177333850
32,1161411937
64,1141579367
128,1137120330
256,1079484332
1,1048470329
2,1260272858
4,1218054791
8,1159495838
16,1177240893
32,1162512434
64,1141896692
128,1137117104
256,1080241470
1,1048665399
2,1260884991
4,1222345053
8,1161151394
16,1176455977
32,1161942864
64,1143252054
128,1138689166
256,1079666832
1,1048686785
2,1257969885
4,1233079706
8,1155580414
16,1177942032
32,1161702695
64,1127217492
128,1137696572
256,1080029936
1,1050876289
2,1259685683
4,1223109581
8,1155641903
16,1177065628
32,1161577865
64,1144111615
128,1137922557
256,1080373993
1,1049410802
2,1259126886
4,1218486973
8,1155459550
16,1176597169
32,1161799468
64,1147347724
128,1139086684
256,1080088412
1,1050212141
2,1259397867
4,1209213357
8,1155534757
16,1178465904
32,1161814296
64,1143265174
128,1138261910
256,1080604503
1,1048297619
2,1259958536
4,1209264583
8,1161475161
16,1176308972
32,1161650641
64,1143613140
128,1138643060
256,1080374757
1,1048198651
2,1261182088
4,1207130665
8,1159977469
16,1177029160
32,1161717482
64,1142977841
128,1137808440
256,1080329801
1,1050379832
2,1262463642
4,1212042207
8,1159754895
16,1176220035
32,1161941685
64,1143718100
128,1139062312
256,1080068764
1,1048900340
2,1260680720
4,1206541565
8,1155902660
16,1177293616
32,1162453243
64,1143915480
128,1138264661
256,1080408850
1,1048460449
2,1264544741
4,1206164839
8,1155373140
16,1177689598
32,1162190595
64,1142897376
128,1136524196
256,1079667643
1,1048496285
2,1258511641
4,1220860583
8,1156054248
16,1177213879
32,1161660667
64,1143654635
128,1136964855
256,1080423541
1,1048384303
2,1260964078
4,1212683638
8,1155408690
16,1176262921
32,1161534230
64,1142824756
128,1138363063
256,1082208269
1,1050001499
2,1261641475
4,1217671984
8,1159824146
16,1177674190
32,1163390913
64,1143438840
128,1138281300
256,1080050202
