mon0_tatal_stall_0_0,mon0_all_dram_rds_0_0,mon0_l2stall_0_0,mon0_snoop_fw_wb_0_0,mon0_llcl_hits_0_0,mon0_llcl_miss_0_0,mon0_null_0_0,mon0_null_0_0
18446744073709551165,18446744073709551462,18446744073709551552,0,0,0,0,0
614561,104878,370930,0,14487,2410,0,0
614561,104878,370930,0,14487,2410,0,0
1684816,365894,870171,0,49415,4824,0,0
1684816,365894,870171,0,49415,4824,0,0
2496299,476485,992310,0,63140,5583,0,0
2496299,476485,992310,0,63140,5583,0,0
2784601,536007,1078254,0,72265,5828,0,0
2784601,536007,1078254,0,72265,5828,0,0
3008091,614143,1157154,0,85626,7747,0,0
3008091,614143,1157154,0,85626,7747,0,0
3225155,672922,1240193,0,94384,7792,0,0
3225155,672922,1240193,0,94384,7792,0,0
3407489,736738,1326789,0,106075,7853,0,0
3407489,736738,1326789,0,106075,7853,0,0
3884841,909481,1487514,0,134502,8256,0,0
3884841,909481,1487514,0,134502,8256,0,0
4183379,1065350,1601786,0,155635,8804,0,0
4183379,1065350,1601786,0,155635,8804,0,0
4500672,1168310,1773409,0,174291,8838,0,0
4500672,1168310,1773409,0,174291,8838,0,0
4764555,1258619,1874252,0,187240,10603,0,0
4764555,1258619,1874252,0,187240,10603,0,0
4993447,1326443,2024721,0,197538,10664,0,0
4993447,1326443,2024721,0,197538,10664,0,0
5256473,1465091,2183790,0,216260,15241,0,0
5256473,1465091,2183790,0,216260,15241,0,0
5531076,1582077,2353804,0,231124,15638,0,0
5531076,1582077,2353804,0,231124,15638,0,0
5906695,1717706,2494727,0,251983,17532,0,0
5906695,1717706,2494727,0,251983,17532,0,0
6373467,1877142,2642931,0,283052,18111,0,0
6373467,1877142,2642931,0,283052,18111,0,0
6594127,1989006,2765449,0,301447,18204,0,0
6594127,1989006,2765449,0,301447,18204,0,0
6840862,2127752,2916754,0,320776,18267,0,0
6840862,2127752,2916754,0,320776,18267,0,0
7072717,2282418,3034921,0,348004,18705,0,0
7072717,2282418,3034921,0,348004,18705,0,0
7279917,2368676,3162937,0,361206,18919,0,0
7279917,2368676,3162937,0,361206,18919,0,0
7854547,2527775,3342741,0,381691,19196,0,0
7854547,2527775,3342741,0,381691,19196,0,0
8157317,2664976,3462381,0,401926,19295,0,0
8157317,2664976,3462381,0,401926,19295,0,0
8443510,2789901,3592772,0,423937,19505,0,0
8443510,2789901,3592772,0,423937,19505,0,0
8733628,2915340,3683402,0,440788,19756,0,0
8733628,2915340,3683402,0,440788,19756,0,0
9046883,3051717,3766430,0,462229,20660,0,0
9046883,3051717,3766430,0,462229,20660,0,0
9256893,3130520,3882718,0,472685,20743,0,0
9256893,3130520,3882718,0,472685,20743,0,0
9528719,3248581,4097150,0,490895,21268,0,0
9528719,3248581,4097150,0,490895,21268,0,0
9817908,3384986,4292177,0,510540,21355,0,0
9817908,3384986,4292177,0,510540,21355,0,0
9997418,3495752,4420427,0,527173,21850,0,0
9997418,3495752,4420427,0,527173,21850,0,0
10167913,3584001,4552786,0,543146,22833,0,0
10167913,3584001,4552786,0,543146,22833,0,0
10373924,3671541,4679931,0,557440,23013,0,0
10373924,3671541,4679931,0,557440,23013,0,0
10503479,3723344,4747543,0,564579,23050,0,0
10503479,3723344,4747543,0,564579,23050,0,0
10633749,3793808,4826546,0,574196,25262,0,0
