mon0_tatal_stall_0_0,mon0_all_dram_rds_0_0,mon0_l2stall_0_0,mon0_snoop_fw_wb_0_0,mon0_llcl_hits_0_0,mon0_llcl_miss_0_0,mon0_null_0_0,mon0_null_0_0
18446744073709548939,18446744073709551473,18446744073709551561,0,18446744073709551615,0,0,0
273858,148582,77040,0,24501,2021,0,0
273858,148582,77040,0,24501,2021,0,0
740893,329992,192963,0,63898,2955,0,0
740893,329992,192963,0,63898,2955,0,0
1086775,486379,298946,0,95163,3519,0,0
1086775,486379,298946,0,95163,3519,0,0
1472808,623812,387789,0,115010,4352,0,0
1472808,623812,387789,0,115010,4352,0,0
1813490,760519,523623,0,131712,4476,0,0
1813490,760519,523623,0,131712,4476,0,0
2174945,886313,623266,0,144891,5639,0,0
2174945,886313,623266,0,144891,5639,0,0
2611019,1010185,710248,0,160641,6410,0,0
2611019,1010185,710248,0,160641,6410,0,0
3055495,1138457,804186,0,181885,6593,0,0
3055495,1138457,804186,0,181885,6593,0,0
3746098,1305282,951252,0,214811,7007,0,0
3746098,1305282,951252,0,214811,7007,0,0
4192181,1448585,1064611,0,235625,7616,0,0
4192181,1448585,1064611,0,235625,7616,0,0
4701435,1625344,1215954,0,254451,11417,0,0
4701435,1625344,1215954,0,254451,11417,0,0
5086976,1783347,1303880,0,279016,12050,0,0
5086976,1783347,1303880,0,279016,12050,0,0
5405807,1922399,1378860,0,299927,12155,0,0
5405807,1922399,1378860,0,299927,12155,0,0
5800448,2085498,1476387,0,325868,12873,0,0
5800448,2085498,1476387,0,325868,12873,0,0
6068665,2176090,1568148,0,340477,12924,0,0
6068665,2176090,1568148,0,340477,12924,0,0
6412191,2333386,1684305,0,364236,13939,0,0
6412191,2333386,1684305,0,364236,13939,0,0
6772687,2499217,1798151,0,382306,14917,0,0
6772687,2499217,1798151,0,382306,14917,0,0
7030182,2617280,1889595,0,398634,14934,0,0
7030182,2617280,1889595,0,398634,14934,0,0
7340580,2730770,1981304,0,416937,15041,0,0
7340580,2730770,1981304,0,416937,15041,0,0
7922971,2912438,2145186,0,446908,15877,0,0
7922971,2912438,2145186,0,446908,15877,0,0
8354837,3113117,2292384,0,467037,23945,0,0
8354837,3113117,2292384,0,467037,23945,0,0
9019406,3431424,2535321,0,494473,27021,0,0
9019406,3431424,2535321,0,494473,27021,0,0
9535665,3656182,2644366,0,526642,29806,0,0
9535665,3656182,2644366,0,526642,29806,0,0
10051167,3819383,2877140,0,561696,31024,0,0
10051167,3819383,2877140,0,561696,31024,0,0
10203841,3876788,2924146,0,569427,31346,0,0
10203841,3876788,2924146,0,569427,31346,0,0
10522378,4004507,3027309,0,585126,32899,0,0
10522378,4004507,3027309,0,585126,32899,0,0
10771638,4093703,3148613,0,599009,33443,0,0
10771638,4093703,3148613,0,599009,33443,0,0
11191218,4239597,3266395,0,613559,35173,0,0
11191218,4239597,3266395,0,613559,35173,0,0
11709871,4403085,3370292,0,637657,36427,0,0
11709871,4403085,3370292,0,637657,36427,0,0
12012077,4534863,3475653,0,658779,36579,0,0
12012077,4534863,3475653,0,658779,36579,0,0
12591545,4699689,3603048,0,684715,36900,0,0
12591545,4699689,3603048,0,684715,36900,0,0
12949267,4806414,3742868,0,699363,36957,0,0
12949267,4806414,3742868,0,699363,36957,0,0
13403030,4962086,3889335,0,715777,37423,0,0
13403030,4962086,3889335,0,715777,37423,0,0
13833904,5081553,4004697,0,729983,37551,0,0
13833904,5081553,4004697,0,729983,37551,0,0
14216171,5223025,4101701,0,750147,37778,0,0
14216171,5223025,4101701,0,750147,37778,0,0
16098260,5426996,4333224,0,784699,39144,0,0
16098260,5426996,4333224,0,784699,39144,0,0
16523438,5616528,4507682,0,807060,39593,0,0
16523438,5616528,4507682,0,807060,39593,0,0
16979634,5805896,4652342,0,830102,40040,0,0
16979634,5805896,4652342,0,830102,40040,0,0
17550642,5978321,4784201,0,854241,40505,0,0
17550642,5978321,4784201,0,854241,40505,0,0
18180964,6106872,4938549,0,872295,43558,0,0
18180964,6106872,4938549,0,872295,43558,0,0
19366500,6542235,5291725,0,916507,51820,0,0
19366500,6542235,5291725,0,916507,51820,0,0
20471406,6668844,5656616,0,939586,52324,0,0
20471406,6668844,5656616,0,939586,52324,0,0
20849720,6783389,5767268,0,956992,53017,0,0
20849720,6783389,5767268,0,956992,53017,0,0
21362965,6925333,5851879,0,978655,54357,0,0
21362965,6925333,5851879,0,978655,54357,0,0
21740744,7039740,5911670,0,994839,54442,0,0
21740744,7039740,5911670,0,994839,54442,0,0
22119941,7126632,5962206,0,1004315,54898,0,0
22119941,7126632,5962206,0,1004315,54898,0,0
22752574,7240095,6139679,0,1016336,55286,0,0
22752574,7240095,6139679,0,1016336,55286,0,0
23315853,7381913,6267075,0,1031727,56277,0,0
23315853,7381913,6267075,0,1031727,56277,0,0
23814804,7501142,6358971,0,1045437,57965,0,0
23814804,7501142,6358971,0,1045437,57965,0,0
24105920,7608924,6406818,0,1060060,58012,0,0
24105920,7608924,6406818,0,1060060,58012,0,0
24426662,7726229,6490673,0,1074479,58156,0,0
24426662,7726229,6490673,0,1074479,58156,0,0
24788924,7866582,6661517,0,1097426,58226,0,0
24788924,7866582,6661517,0,1097426,58226,0,0
25133371,8030088,6759392,0,1121418,58229,0,0
25133371,8030088,6759392,0,1121418,58229,0,0
25441349,8190346,6881685,0,1144411,58307,0,0
25441349,8190346,6881685,0,1144411,58307,0,0
25775106,8300266,6986105,0,1160509,58362,0,0
25775106,8300266,6986105,0,1160509,58362,0,0
26221766,8442053,7062481,0,1186834,58605,0,0
26221766,8442053,7062481,0,1186834,58605,0,0
26408852,8482752,7100605,0,1192093,58613,0,0
26408852,8482752,7100605,0,1192093,58613,0,0
26805302,8650160,7191105,0,1208579,60785,0,0
26805302,8650160,7191105,0,1208579,60785,0,0
26957064,8680984,7213243,0,1212715,60785,0,0
26957064,8680984,7213243,0,1212715,60785,0,0
27279353,8803745,7293925,0,1232158,60848,0,0
27279353,8803745,7293925,0,1232158,60848,0,0
27748750,9054786,7387743,0,1259281,61990,0,0
27748750,9054786,7387743,0,1259281,61990,0,0
28304338,9222763,7556101,0,1286608,62738,0,0
28304338,9222763,7556101,0,1286608,62738,0,0
28751569,9394629,7640385,0,1309102,64300,0,0
28751569,9394629,7640385,0,1309102,64300,0,0
29260190,9536012,7751061,0,1329520,64537,0,0
29260190,9536012,7751061,0,1329520,64537,0,0
29646678,9683250,7848510,0,1354500,64972,0,0
29646678,9683250,7848510,0,1354500,64972,0,0
29921980,9812863,7914188,0,1373903,65125,0,0
29921980,9812863,7914188,0,1373903,65125,0,0
30398099,9970088,8032616,0,1399966,65462,0,0
30398099,9970088,8032616,0,1399966,65462,0,0
30551553,10026177,8082633,0,1410206,65475,0,0
30551553,10026177,8082633,0,1410206,65475,0,0
30788972,10136743,8128826,0,1427271,66354,0,0
30788972,10136743,8128826,0,1427271,66354,0,0
31271425,10360688,8254569,0,1459925,66751,0,0
31271425,10360688,8254569,0,1459925,66751,0,0
31770003,10557348,8394476,0,1494134,66962,0,0
31770003,10557348,8394476,0,1494134,66962,0,0
32148403,10652271,8469971,0,1511459,66965,0,0
32148403,10652271,8469971,0,1511459,66965,0,0
32634221,10805691,8574218,0,1536261,67065,0,0
32634221,10805691,8574218,0,1536261,67065,0,0
33289109,11089246,8757963,0,1575323,67585,0,0
33289109,11089246,8757963,0,1575323,67585,0,0
33817729,11281352,8874487,0,1597245,70221,0,0
33817729,11281352,8874487,0,1597245,70221,0,0
34174244,11385366,8974151,0,1613000,71449,0,0
34174244,11385366,8974151,0,1613000,71449,0,0
34719408,11677376,9093049,0,1653345,72075,0,0
34719408,11677376,9093049,0,1653345,72075,0,0
35752080,11956147,9898481,0,1698579,75344,0,0
35752080,11956147,9898481,0,1698579,75344,0,0
36305864,12228764,10060857,0,1733453,78361,0,0
36305864,12228764,10060857,0,1733453,78361,0,0
36637197,12321478,10109730,0,1742265,78832,0,0
36637197,12321478,10109730,0,1742265,78832,0,0
37353036,12694870,10315895,0,1783525,83099,0,0
37353036,12694870,10315895,0,1783525,83099,0,0
38147349,13015529,10678973,0,1821521,86525,0,0
38147349,13015529,10678973,0,1821521,86525,0,0
38549000,13164593,10834288,0,1839394,88315,0,0
38549000,13164593,10834288,0,1839394,88315,0,0
38960766,13363058,11020355,0,1865280,88372,0,0
38960766,13363058,11020355,0,1865280,88372,0,0
39484406,13647207,11208672,0,1899898,89339,0,0
39484406,13647207,11208672,0,1899898,89339,0,0
39712325,13726186,11276704,0,1911948,89374,0,0
39712325,13726186,11276704,0,1911948,89374,0,0
40547433,13942466,11597377,0,1942454,92132,0,0
40547433,13942466,11597377,0,1942454,92132,0,0
41200862,14155383,11781708,0,1985112,92751,0,0
41200862,14155383,11781708,0,1985112,92751,0,0
42254595,14452102,12127394,0,2021844,94946,0,0
42254595,14452102,12127394,0,2021844,94946,0,0
42895916,14602235,12343322,0,2047913,95870,0,0
42895916,14602235,12343322,0,2047913,95870,0,0
43367146,14750196,12475823,0,2077040,96850,0,0
43367146,14750196,12475823,0,2077040,96850,0,0
43664043,14869386,12582623,0,2096717,97594,0,0
43664043,14869386,12582623,0,2096717,97594,0,0
44003932,14989904,12691779,0,2116552,97708,0,0
44003932,14989904,12691779,0,2116552,97708,0,0
44481942,15141882,12877215,0,2141975,98410,0,0
44481942,15141882,12877215,0,2141975,98410,0,0
45406024,15332037,13485950,0,2171542,106761,0,0
45406024,15332037,13485950,0,2171542,106761,0,0
45943155,15613611,13717969,0,2190619,113293,0,0
45943155,15613611,13717969,0,2190619,113293,0,0
