mon0_tatal_stall_0_0,mon0_all_dram_rds_0_0,mon0_l2stall_0_0,mon0_snoop_fw_wb_0_0,mon0_llcl_hits_0_0,mon0_llcl_miss_0_0,mon0_null_0_0,mon0_null_0_0
18446744073709551223,18446744073709551489,18446744073709551541,0,0,0,0,0
222709,104149,69086,0,10586,101,0,0
222709,104149,69086,0,10586,101,0,0
486905,184258,170000,0,18839,105,0,0
486905,184258,170000,0,18839,105,0,0
709408,241179,301907,0,28554,373,0,0
709408,241179,301907,0,28554,373,0,0
1005012,343715,404367,0,43923,603,0,0
1005012,343715,404367,0,43923,603,0,0
1429000,472251,510821,0,63429,1091,0,0
1429000,472251,510821,0,63429,1091,0,0
1756152,604000,603505,0,90443,1464,0,0
1756152,604000,603505,0,90443,1464,0,0
2204479,672072,667417,0,106594,1676,0,0
2204479,672072,667417,0,106594,1676,0,0
2836907,890022,833511,0,137460,3109,0,0
2836907,890022,833511,0,137460,3109,0,0
3165525,978514,978743,0,149343,3739,0,0
3165525,978514,978743,0,149343,3739,0,0
3289888,1013208,1039378,0,153326,3748,0,0
3289888,1013208,1039378,0,153326,3748,0,0
3670179,1076515,1148664,0,160215,4226,0,0
3670179,1076515,1148664,0,160215,4226,0,0
3991044,1161253,1252785,0,174671,4303,0,0
3991044,1161253,1252785,0,174671,4303,0,0
4630897,1291423,1399118,0,201175,5050,0,0
4630897,1291423,1399118,0,201175,5050,0,0
5003969,1387086,1535090,0,215986,5215,0,0
5003969,1387086,1535090,0,215986,5215,0,0
5314610,1495087,1629614,0,234606,5323,0,0
5314610,1495087,1629614,0,234606,5323,0,0
5761200,1582558,1776150,0,246943,5694,0,0
5761200,1582558,1776150,0,246943,5694,0,0
6097729,1652784,1902131,0,259757,5831,0,0
6097729,1652784,1902131,0,259757,5831,0,0
6415545,1718055,2027108,0,272775,5835,0,0
6415545,1718055,2027108,0,272775,5835,0,0
6697298,1763433,2210513,0,278755,5866,0,0
6697298,1763433,2210513,0,278755,5866,0,0
7070121,1826013,2408399,0,289465,5930,0,0
7070121,1826013,2408399,0,289465,5930,0,0
7492079,1951342,2653648,0,312347,6610,0,0
7492079,1951342,2653648,0,312347,6610,0,0
7776141,2004264,2804763,0,321144,6721,0,0
7776141,2004264,2804763,0,321144,6721,0,0
8141888,2165418,2971149,0,338624,16623,0,0
8141888,2165418,2971149,0,338624,16623,0,0
8594903,2343647,3153212,0,365119,18141,0,0
8594903,2343647,3153212,0,365119,18141,0,0
9074036,2535126,3286452,0,394502,18303,0,0
9074036,2535126,3286452,0,394502,18303,0,0
9691549,2871612,3492301,0,438973,24236,0,0
9691549,2871612,3492301,0,438973,24236,0,0
10075084,3058824,3637375,0,464431,29738,0,0
10075084,3058824,3637375,0,464431,29738,0,0
10471567,3250766,3793795,0,486811,29886,0,0
10471567,3250766,3793795,0,486811,29886,0,0
10867501,3390167,3961180,0,508602,30194,0,0
10867501,3390167,3961180,0,508602,30194,0,0
11295051,3575949,4079081,0,537524,30335,0,0
11295051,3575949,4079081,0,537524,30335,0,0
11927680,3915768,4243080,0,579614,30822,0,0
11927680,3915768,4243080,0,579614,30822,0,0
12391926,4126314,4370969,0,607621,30921,0,0
12391926,4126314,4370969,0,607621,30921,0,0
13002715,4414590,4541955,0,651569,31972,0,0
