mon0_tatal_stall_0_0,mon0_all_dram_rds_0_0,mon0_l2stall_0_0,mon0_snoop_fw_wb_0_0,mon0_llcl_hits_0_0,mon0_llcl_miss_0_0,mon0_null_0_0,mon0_null_0_0
18446744073709546233,18446744073709549773,18446744073709551026,0,18446744073709551500,18446744073709551571,0,0
232301,84042,70194,0,12892,389,0,0
232301,84042,70194,0,12892,389,0,0
695948,260402,205142,0,33949,1102,0,0
695948,260402,205142,0,33949,1102,0,0
1048249,418704,359986,0,59029,1494,0,0
1048249,418704,359986,0,59029,1494,0,0
1609202,598435,547895,0,86184,1948,0,0
1609202,598435,547895,0,86184,1948,0,0
1843162,687192,626029,0,100070,2175,0,0
1843162,687192,626029,0,100070,2175,0,0
2283314,847115,751519,0,119682,2551,0,0
2283314,847115,751519,0,119682,2551,0,0
2818138,1019930,868907,0,147508,2730,0,0
2818138,1019930,868907,0,147508,2730,0,0
3342859,1235014,1115794,0,186658,5052,0,0
3342859,1235014,1115794,0,186658,5052,0,0
3827911,1385332,1276197,0,212588,5825,0,0
3827911,1385332,1276197,0,212588,5825,0,0
4447805,1537931,1408988,0,240628,6110,0,0
4447805,1537931,1408988,0,240628,6110,0,0
4973816,1674737,1518241,0,257806,6941,0,0
4973816,1674737,1518241,0,257806,6941,0,0
5413552,1798692,1670438,0,274000,7080,0,0
5413552,1798692,1670438,0,274000,7080,0,0
5759863,1873273,1779575,0,283294,7546,0,0
5759863,1873273,1779575,0,283294,7546,0,0
6201652,1991665,1910939,0,303001,7901,0,0
6201652,1991665,1910939,0,303001,7901,0,0
6572348,2059871,2033060,0,313679,8033,0,0
6572348,2059871,2033060,0,313679,8033,0,0
7405016,2324135,2298407,0,356484,15808,0,0
7405016,2324135,2298407,0,356484,15808,0,0
7924305,2493980,2419114,0,388982,16189,0,0
7924305,2493980,2419114,0,388982,16189,0,0
8311823,2625709,2507799,0,406824,16826,0,0
8311823,2625709,2507799,0,406824,16826,0,0
8845422,2754068,2610436,0,427290,17068,0,0
8845422,2754068,2610436,0,427290,17068,0,0
9315253,2892850,2723515,0,446277,19961,0,0
9315253,2892850,2723515,0,446277,19961,0,0
10028397,3008356,2842322,0,461271,20019,0,0
10028397,3008356,2842322,0,461271,20019,0,0
10427566,3105501,2932305,0,473973,20678,0,0
10427566,3105501,2932305,0,473973,20678,0,0
12089903,5041855,3575365,0,617001,108488,0,0
12089903,5041855,3575365,0,617001,108488,0,0
12382410,5149445,3663406,0,633226,108821,0,0
12382410,5149445,3663406,0,633226,108821,0,0
12869002,5294059,3841716,0,658246,109158,0,0
12869002,5294059,3841716,0,658246,109158,0,0
13328697,5475152,3978481,0,685668,109672,0,0
13328697,5475152,3978481,0,685668,109672,0,0
13717574,5596926,4105762,0,701647,110139,0,0
13717574,5596926,4105762,0,701647,110139,0,0
14039300,5689832,4184334,0,716592,110719,0,0
14039300,5689832,4184334,0,716592,110719,0,0
14390812,5789636,4266363,0,738653,110882,0,0
14390812,5789636,4266363,0,738653,110882,0,0
14924462,5883062,4363376,0,752944,110958,0,0
14924462,5883062,4363376,0,752944,110958,0,0
15301802,5978696,4426169,0,765262,111012,0,0
15301802,5978696,4426169,0,765262,111012,0,0
15678706,6067694,4528823,0,784513,111026,0,0
15678706,6067694,4528823,0,784513,111026,0,0
16105052,6151861,4658602,0,798575,111149,0,0
16105052,6151861,4658602,0,798575,111149,0,0
16573516,6253051,4753024,0,813945,111183,0,0
16573516,6253051,4753024,0,813945,111183,0,0
17154255,6334122,4866852,0,827756,111262,0,0
17154255,6334122,4866852,0,827756,111262,0,0
17724588,6427271,4966319,0,842391,111423,0,0
17724588,6427271,4966319,0,842391,111423,0,0
18278228,6511678,5022120,0,856707,111482,0,0
18278228,6511678,5022120,0,856707,111482,0,0
18639750,6580598,5098189,0,869091,111798,0,0
18639750,6580598,5098189,0,869091,111798,0,0
18983664,6725838,5188308,0,890967,111944,0,0
18983664,6725838,5188308,0,890967,111944,0,0
19123654,6767662,5219465,0,895325,111997,0,0
19123654,6767662,5219465,0,895325,111997,0,0
19642876,6930259,5336264,0,917525,112279,0,0
19642876,6930259,5336264,0,917525,112279,0,0
20251337,7162145,5475072,0,950829,112438,0,0
20251337,7162145,5475072,0,950829,112438,0,0
20861221,7368982,5578665,0,981613,112548,0,0
20861221,7368982,5578665,0,981613,112548,0,0
21364893,7549312,5664208,0,1009150,112686,0,0
21364893,7549312,5664208,0,1009150,112686,0,0
21835663,7688203,5774771,0,1026177,112736,0,0
21835663,7688203,5774771,0,1026177,112736,0,0
22367410,7819403,5891422,0,1043207,113061,0,0
22367410,7819403,5891422,0,1043207,113061,0,0
23237455,8021598,6118033,0,1072816,113407,0,0
23237455,8021598,6118033,0,1072816,113407,0,0
23776905,8162663,6249354,0,1094286,114715,0,0
23776905,8162663,6249354,0,1094286,114715,0,0
24334140,8306988,6376793,0,1127523,115049,0,0
24334140,8306988,6376793,0,1127523,115049,0,0
24936526,8516961,6555916,0,1166788,116065,0,0
24936526,8516961,6555916,0,1166788,116065,0,0
25530074,8664962,6706155,0,1191455,116452,0,0
25530074,8664962,6706155,0,1191455,116452,0,0
26080506,8819501,6875024,0,1211764,116963,0,0
26080506,8819501,6875024,0,1211764,116963,0,0
26693143,8993828,7055348,0,1241538,119818,0,0
26693143,8993828,7055348,0,1241538,119818,0,0
27134717,9134776,7202385,0,1266929,120028,0,0
27134717,9134776,7202385,0,1266929,120028,0,0
27656922,9257736,7355274,0,1283147,120208,0,0
27656922,9257736,7355274,0,1283147,120208,0,0
27997803,9314371,7477013,0,1289577,120517,0,0
27997803,9314371,7477013,0,1289577,120517,0,0
28468893,9458324,7583518,0,1312658,122685,0,0
28468893,9458324,7583518,0,1312658,122685,0,0
28964451,9590277,7689937,0,1332938,122837,0,0
28964451,9590277,7689937,0,1332938,122837,0,0
29351002,9680200,7761094,0,1346176,122976,0,0
29351002,9680200,7761094,0,1346176,122976,0,0
