size,time
1,330689964
2,537760641
4,445184733
8,365696968
16,303359977
32,268270610
64,244220860
128,201903532
256,187459433
1,330906516
2,538641199
4,449738053
8,361953244
16,299768484
32,258866790
64,244137734
128,202155974
256,188050393
1,330335229
2,537574337
4,449312510
8,359921360
16,303536423
32,258841250
64,244256191
128,202028834
256,185245691
1,330246208
2,538191715
4,446794797
8,358556698
16,298417354
32,267896045
64,243910981
128,202850544
256,185272563
1,330768684
2,537689722
4,446442771
8,361875855
16,297585523
32,258507373
64,244358224
128,196970717
256,185751799
1,331267532
2,537908059
4,444879870
8,362292622
16,298216351
32,267896754
64,244181772
128,201858238
256,184844207
1,332346568
2,537485581
4,445151476
8,363133592
16,298088799
32,259178432
64,244111849
128,202032040
256,186959985
1,329896280
2,537603977
4,444469638
8,362498276
16,303705854
32,268847191
64,256825146
128,196497726
256,185006965
1,329754493
2,537661411
4,442755377
8,358964681
16,298353589
32,258335499
64,243826736
128,202870604
256,188015738
1,330618434
2,541018845
4,447806895
8,362888447
16,298329883
32,258490817
64,243892470
128,196575280
256,185080528
1,329778379
2,537275998
4,449993345
8,363265604
16,298353671
32,268272722
64,243861062
128,196355390
256,187021315
1,330440583
2,538058202
4,447369945
8,359362571
16,298440865
32,258144055
64,244508577
128,202372898
256,187810826
1,329770827
2,537606770
4,443725981
8,358994424
16,299248042
32,268384270
64,244272281
128,201938310
256,185497530
1,329880278
2,537696110
4,447580262
8,362415732
16,304302901
32,268208725
64,244183112
128,202166188
256,187218361
1,330489563
2,537373629
4,439626564
8,358761692
16,303304572
32,258637454
64,243905293
128,196973219
256,187278469
1,330294114
2,566570141
4,447178652
8,362655568
16,297906860
32,258466512
64,243745691
128,196829357
256,185510317
1,330098842
2,537890626
4,447597162
8,362760849
16,299169931
32,267974874
64,244150988
128,201979455
256,187430897
1,330720758
2,537411200
4,437717070
8,361904426
16,299770283
32,268029920
64,244776073
128,197214848
256,185188051
1,329768766
2,536982300
4,442632364
8,362016712
16,303507355
32,258336745
64,244787972
128,196304514
256,185655133
1,330244352
2,537771385
4,454666690
8,358773989
16,303493590
32,269219489
64,244379154
128,197694515
256,187115363
1,330170113
2,537325975
4,448793507
8,362189714
16,302976728
32,268454183
64,244201860
128,201860354
256,186640254
1,330065098
2,537262533
4,445249085
8,363055011
16,298445621
32,268282796
64,243976167
128,196718985
256,186834566
1,329973537
2,537450089
4,452062189
8,363078052
16,298299949
32,259332401
64,244598091
128,196933084
256,185291497
1,329985857
2,536704314
4,531561837
8,359380080
16,298834262
32,258910208
64,244804945
128,202912599
256,188866188
1,331132720
2,536758014
4,449048622
8,359004939
16,302803748
32,267987144
64,244581176
128,197639091
256,185337884
