mon0_tatal_stall_0_0,mon0_all_dram_rds_0_0,mon0_l2stall_0_0,mon0_snoop_fw_wb_0_0,mon0_llcl_hits_0_0,mon0_llcl_miss_0_0,mon0_null_0_0,mon0_null_0_0
18446744073709549743,18446744073709551122,18446744073709551049,0,18446744073709551306,0,0,0
154457,44292,37868,0,12174,220,0,0
154457,44292,37868,0,12174,220,0,0
522793,168962,143053,0,33362,514,0,0
522793,168962,143053,0,33362,514,0,0
953233,310187,242481,0,59651,582,0,0
953233,310187,242481,0,59651,582,0,0
1225718,381899,331505,0,76902,2338,0,0
1225718,381899,331505,0,76902,2338,0,0
1372419,415117,380559,0,90790,2587,0,0
1372419,415117,380559,0,90790,2587,0,0
1512122,436683,422059,0,103935,3075,0,0
1512122,436683,422059,0,103935,3075,0,0
1688690,493047,494447,0,117162,3358,0,0
1688690,493047,494447,0,117162,3358,0,0
1826595,512187,550263,0,126537,3450,0,0
1826595,512187,550263,0,126537,3450,0,0
1972710,530215,609830,0,137936,4743,0,0
1972710,530215,609830,0,137936,4743,0,0
2130719,549005,662998,0,148248,5137,0,0
2130719,549005,662998,0,148248,5137,0,0
2545855,574371,1129925,0,161605,5860,0,0
2545855,574371,1129925,0,161605,5860,0,0
2698127,599890,1172896,0,171725,5871,0,0
2698127,599890,1172896,0,171725,5871,0,0
2845373,628770,1198369,0,183221,6123,0,0
2845373,628770,1198369,0,183221,6123,0,0
2971514,641466,1227750,0,191949,6350,0,0
2971514,641466,1227750,0,191949,6350,0,0
3113596,650453,1267597,0,198385,6364,0,0
3113596,650453,1267597,0,198385,6364,0,0
3258017,686155,1316671,0,213368,6572,0,0
3258017,686155,1316671,0,213368,6572,0,0
3397254,711930,1361615,0,222682,6854,0,0
3397254,711930,1361615,0,222682,6854,0,0
3550022,752002,1405024,0,232365,6967,0,0
3550022,752002,1405024,0,232365,6967,0,0
3681017,778518,1452014,0,243449,7121,0,0
3681017,778518,1452014,0,243449,7121,0,0
3807494,795466,1498427,0,251849,7293,0,0
3807494,795466,1498427,0,251849,7293,0,0
3944718,842585,1546146,0,263224,7495,0,0
3944718,842585,1546146,0,263224,7495,0,0
4062234,865014,1589042,0,270895,7619,0,0
4062234,865014,1589042,0,270895,7619,0,0
4188723,881467,1630556,0,281128,7646,0,0
4188723,881467,1630556,0,281128,7646,0,0
4290598,906647,1672030,0,293283,7794,0,0
4290598,906647,1672030,0,293283,7794,0,0
4408888,948004,1707930,0,303822,7887,0,0
4408888,948004,1707930,0,303822,7887,0,0
4547629,1010820,1759415,0,320896,8289,0,0
4547629,1010820,1759415,0,320896,8289,0,0
4836644,1244500,1911775,0,346610,14086,0,0
4836644,1244500,1911775,0,346610,14086,0,0
4970084,1265045,1960921,0,355975,14137,0,0
4970084,1265045,1960921,0,355975,14137,0,0
5130209,1289825,2003423,0,367314,15390,0,0
5130209,1289825,2003423,0,367314,15390,0,0
5271507,1311898,2048143,0,377121,15653,0,0
5271507,1311898,2048143,0,377121,15653,0,0
5414475,1340904,2092976,0,389990,16228,0,0
5414475,1340904,2092976,0,389990,16228,0,0
5616862,1382334,2154550,0,406240,16292,0,0
5616862,1382334,2154550,0,406240,16292,0,0
5785344,1430274,2219102,0,415368,19773,0,0
5785344,1430274,2219102,0,415368,19773,0,0
6320981,1561003,2329213,0,443460,21292,0,0
6320981,1561003,2329213,0,443460,21292,0,0
6924380,1828367,2512097,0,484598,24838,0,0
6924380,1828367,2512097,0,484598,24838,0,0
7402231,1940117,2643616,0,501700,25317,0,0
7402231,1940117,2643616,0,501700,25317,0,0
8088327,2118472,2808507,0,533213,25870,0,0
8088327,2118472,2808507,0,533213,25870,0,0
8683639,2279294,2944132,0,561044,25976,0,0
8683639,2279294,2944132,0,561044,25976,0,0
9169575,2410665,3064739,0,588851,27329,0,0
9169575,2410665,3064739,0,588851,27329,0,0
9340251,2450815,3115985,0,597990,27402,0,0
9340251,2450815,3115985,0,597990,27402,0,0
9476833,2490165,3201086,0,614741,29943,0,0
9476833,2490165,3201086,0,614741,29943,0,0
9589286,2503835,3258933,0,623108,30014,0,0
9589286,2503835,3258933,0,623108,30014,0,0
9743498,2516200,3313186,0,631969,30018,0,0
9743498,2516200,3313186,0,631969,30018,0,0
9816910,2524624,3342169,0,638898,30042,0,0
9816910,2524624,3342169,0,638898,30042,0,0
9960239,2545119,3396400,0,651296,31113,0,0
9960239,2545119,3396400,0,651296,31113,0,0
10163512,2560055,3452739,0,661246,31154,0,0
10163512,2560055,3452739,0,661246,31154,0,0
10337668,2573485,3517885,0,669054,31212,0,0
10337668,2573485,3517885,0,669054,31212,0,0
10534055,2590729,3575544,0,680114,31325,0,0
10534055,2590729,3575544,0,680114,31325,0,0
10687668,2599185,3628346,0,685912,31338,0,0
10687668,2599185,3628346,0,685912,31338,0,0
10860764,2614208,3670947,0,695638,31385,0,0
10860764,2614208,3670947,0,695638,31385,0,0
11171714,2628126,3708245,0,706200,31408,0,0
11171714,2628126,3708245,0,706200,31408,0,0
11481381,2634778,3743937,0,711068,31431,0,0
11481381,2634778,3743937,0,711068,31431,0,0
11650689,2649064,3795111,0,720650,31486,0,0
11650689,2649064,3795111,0,720650,31486,0,0
11847858,2683899,3858425,0,733965,31495,0,0
11847858,2683899,3858425,0,733965,31495,0,0
11924064,2694752,3887939,0,740001,31498,0,0
11924064,2694752,3887939,0,740001,31498,0,0
12102658,2719454,3937535,0,755064,31593,0,0
12102658,2719454,3937535,0,755064,31593,0,0
12302100,2742113,4001490,0,769062,31803,0,0
12302100,2742113,4001490,0,769062,31803,0,0
12481799,2776366,4072207,0,784562,31899,0,0
12481799,2776366,4072207,0,784562,31899,0,0
12686376,2799709,4126527,0,797769,32031,0,0
12686376,2799709,4126527,0,797769,32031,0,0
12885974,2883456,4195251,0,812141,39564,0,0
12885974,2883456,4195251,0,812141,39564,0,0
13033148,2923219,4248298,0,826882,40768,0,0
13033148,2923219,4248298,0,826882,40768,0,0
13208556,2953642,4306220,0,843741,41068,0,0
13208556,2953642,4306220,0,843741,41068,0,0
13382446,3000539,4368968,0,860749,41857,0,0
13382446,3000539,4368968,0,860749,41857,0,0
