size,time
1,3022362485
2,3172263037
4,3136928417
8,3119702357
16,3128190578
32,3185588505
64,3437820458
128,3301597676
256,3105558310
1,3021730965
2,3169790906
4,3132903487
8,3116111958
16,3129335109
32,3185800887
64,3438555602
128,3297570606
256,3101306944
1,3024716914
2,3176400364
4,3137293196
8,3114803887
16,3127281251
32,3188044469
64,3437348962
128,3300909988
256,3100583456
1,3024096884
2,3174392666
4,3132999236
8,3114583899
16,3126866806
32,3188520574
64,3440493639
128,3301422348
256,3101590758
1,3021554300
2,3182084200
4,3139014833
8,3115799409
16,3126989526
32,3185363127
64,3442021144
128,3301546698
256,3100271859
1,3021496352
2,3174122324
4,3139499052
8,3117547465
16,3128780790
32,3187817485
64,3438104502
128,3306522674
256,3101358582
1,3021727178
2,3170769048
4,3133231224
8,3119298892
16,3127422237
32,3185918418
64,3435965371
128,3304099964
256,3102428067
1,3022205682
2,3171823544
4,3134650219
8,3117349694
16,3127899147
32,3187160667
64,3434681905
128,3301579841
256,3103081594
1,3022947881
2,3172872920
4,3137916812
8,3114759571
16,3128718514
32,3187256424
64,3434564182
128,3300684935
256,3100396598
1,3025147507
2,3173687624
4,3138387019
8,3115687767
16,3127695507
32,3188842032
64,3436048063
128,3298777982
256,3101213157
1,3021716447
2,3173400273
4,3134592851
8,3116943493
16,3126771776
32,3185044256
64,3439867571
128,3302822536
256,3101826344
1,3023693401
2,3167726039
4,3134719768
8,3117245044
16,3130645021
32,3171299832
64,3437281891
128,3303854487
256,3101772440
1,3021863693
2,3174639709
4,3142049511
8,3117154132
16,3127835742
32,3185546802
64,3437256131
128,3305100924
256,3101014698
1,3022177091
2,3172292162
4,3137860697
8,3119534737
16,3127945574
32,3186353312
64,3436906944
128,3295650412
256,3103541362
1,3022681746
2,3172406087
4,3135255633
8,3115780947
16,3128332759
32,3185161857
64,3436224752
128,3301814911
256,3103829511
1,3022898371
2,3173609905
4,3131423403
8,3114119209
16,3131452797
32,3187481726
64,3436892009
128,3302093149
256,3100735698
1,3025825222
2,3171985522
4,3127318608
8,3115860402
16,3128190339
32,3189775852
64,3441366328
128,3302610559
256,3101125269
1,3022061099
2,3185531514
4,3137186287
8,3118219366
16,3126868953
32,3186021209
64,3440203515
128,3302732236
256,3101154927
1,3021811492
2,3171101784
4,3137098918
8,3115279784
16,3128985859
32,3186667555
64,3402760135
128,3305153551
256,3101768629
1,3021818556
2,3174694003
4,3141595348
8,3115878540
16,3127574868
32,3185785749
64,3435911764
128,3305160330
256,3102918656
1,3022275820
2,3168977795
4,3137009539
8,3121183425
16,3128526020
32,3186171069
64,3436059757
128,3301798967
256,3103320326
1,3022163591
2,3172341672
4,3132481437
8,3115020724
16,3129993748
32,3188010045
64,3438299882
128,3297133927
256,3100826241
1,3024338718
2,3172943120
4,3139420722
8,3115877552
16,3126760598
32,3188758447
64,3437909628
128,3300335271
256,3099950602
1,3022221143
2,3176710569
4,3137837565
8,3115375049
16,3129801481
32,3186137325
64,3440497117
128,3301530145
256,3100606943
1,3023629484
2,3173539874
4,3143591514
8,3115398387
16,3127046912
32,3186709456
64,3442775950
128,3303446171
256,3100743326
