mon0_tatal_stall_0_0,mon0_all_dram_rds_0_0,mon0_l2stall_0_0,mon0_snoop_fw_wb_0_0,mon0_llcl_hits_0_0,mon0_llcl_miss_0_0,mon0_null_0_0,mon0_null_0_0
18446744073709548133,18446744073709551261,18446744073709548700,0,0,0,0,0
81799,8075,35330,0,3964,165,0,0
81799,8075,35330,0,3964,165,0,0
574411,41566,77158,0,19477,409,0,0
574411,41566,77158,0,19477,409,0,0
1782480,3613249,1278217,0,37085,1202,0,0
1782480,3613249,1278217,0,37085,1202,0,0
3026516,7402962,2533792,0,48973,1276,0,0
3026516,7402962,2533792,0,48973,1276,0,0
4350123,11166928,3795124,0,62709,1511,0,0
4350123,11166928,3795124,0,62709,1511,0,0
5650284,14676279,5010038,0,73261,2018,0,0
5650284,14676279,5010038,0,73261,2018,0,0
6882750,18051694,6130930,0,82018,2072,0,0
6882750,18051694,6130930,0,82018,2072,0,0
8115568,21383610,7243423,0,91282,2213,0,0
8115568,21383610,7243423,0,91282,2213,0,0
8709029,22501654,7696001,0,94206,2233,0,0
8709029,22501654,7696001,0,94206,2233,0,0
9420141,22800366,8010394,0,95151,2327,0,0
9420141,22800366,8010394,0,95151,2327,0,0
9751517,23226872,8491404,0,95729,2792,0,0
9751517,23226872,8491404,0,95729,2792,0,0
9949099,23767557,8805881,0,96215,2949,0,0
9949099,23767557,8805881,0,96215,2949,0,0
10183113,24307988,9205445,0,96677,2978,0,0
10183113,24307988,9205445,0,96677,2978,0,0
10286357,24848152,9408847,0,97268,2986,0,0
10286357,24848152,9408847,0,97268,2986,0,0
10448875,25388564,9634384,0,97866,3091,0,0
10448875,25388564,9634384,0,97866,3091,0,0
10548435,25927905,9856482,0,98397,3119,0,0
10548435,25927905,9856482,0,98397,3119,0,0
10662826,26464473,10087751,0,98838,3120,0,0
10662826,26464473,10087751,0,98838,3120,0,0
10762752,27000446,10302525,0,99527,3219,0,0
10762752,27000446,10302525,0,99527,3219,0,0
11081057,27536030,10554690,0,99993,3326,0,0
11081057,27536030,10554690,0,99993,3326,0,0
11771597,28072197,10800743,0,100688,3445,0,0
11771597,28072197,10800743,0,100688,3445,0,0
11898314,28608127,11022142,0,101382,3503,0,0
11898314,28608127,11022142,0,101382,3503,0,0
12023469,29144469,11236024,0,101971,3679,0,0
12023469,29144469,11236024,0,101971,3679,0,0
12277582,29680295,11460478,0,102613,3785,0,0
12277582,29680295,11460478,0,102613,3785,0,0
12404344,30214850,11686060,0,103154,3794,0,0
12404344,30214850,11686060,0,103154,3794,0,0
12489956,30750411,11909857,0,103891,3893,0,0
12489956,30750411,11909857,0,103891,3893,0,0
