mon0_tatal_stall_0_0,mon0_all_dram_rds_0_0,mon0_l2stall_0_0,mon0_snoop_fw_wb_0_0,mon0_llcl_hits_0_0,mon0_llcl_miss_0_0,mon0_null_0_0,mon0_null_0_0
18446744073709550644,18446744073709549829,18446744073709551014,0,18446744073709551592,18446744073709551610,0,0
668299,407336,419764,0,43058,4665,0,0
668299,407336,419764,0,43058,4665,0,0
906951,497510,523581,0,57034,4741,0,0
906951,497510,523581,0,57034,4741,0,0
1175956,610701,608985,0,76781,4805,0,0
1175956,610701,608985,0,76781,4805,0,0
1489587,713884,680163,0,96810,6239,0,0
1489587,713884,680163,0,96810,6239,0,0
2399693,897963,882298,0,125545,7354,0,0
2399693,897963,882298,0,125545,7354,0,0
3064529,1084469,1111521,0,151251,8889,0,0
3064529,1084469,1111521,0,151251,8889,0,0
3391850,1181676,1207210,0,167761,9051,0,0
3391850,1181676,1207210,0,167761,9051,0,0
3520338,1206160,1255652,0,178002,9289,0,0
3520338,1206160,1255652,0,178002,9289,0,0
3645232,1222212,1296207,0,184027,10638,0,0
3645232,1222212,1296207,0,184027,10638,0,0
3770080,1240665,1357954,0,195488,10890,0,0
3770080,1240665,1357954,0,195488,10890,0,0
3824815,1253338,1386264,0,200411,11407,0,0
3824815,1253338,1386264,0,200411,11407,0,0
3888041,1272029,1423670,0,208610,12049,0,0
3888041,1272029,1423670,0,208610,12049,0,0
3969185,1288671,1451507,0,220738,12061,0,0
3969185,1288671,1451507,0,220738,12061,0,0
4077325,1312058,1499566,0,229537,13076,0,0
4077325,1312058,1499566,0,229537,13076,0,0
4193498,1326500,1525127,0,238797,13662,0,0
4193498,1326500,1525127,0,238797,13662,0,0
4309355,1343199,1567577,0,248817,13753,0,0
4309355,1343199,1567577,0,248817,13753,0,0
4908529,2378320,1938522,0,696975,107752,0,0
4908529,2378320,1938522,0,696975,107752,0,0
5062398,2397908,2017626,0,707410,107878,0,0
5062398,2397908,2017626,0,707410,107878,0,0
5171580,2413334,2064932,0,716953,107949,0,0
5171580,2413334,2064932,0,716953,107949,0,0
5263838,2442707,2098528,0,729031,108779,0,0
5263838,2442707,2098528,0,729031,108779,0,0
5363363,2460076,2157514,0,737280,109207,0,0
5363363,2460076,2157514,0,737280,109207,0,0
5473849,2487791,2207825,0,749158,109658,0,0
5473849,2487791,2207825,0,749158,109658,0,0
5577832,2500026,2255413,0,758040,109688,0,0
