mon0_tatal_stall_0_0,mon0_all_dram_rds_0_0,mon0_l2stall_0_0,mon0_snoop_fw_wb_0_0,mon0_llcl_hits_0_0,mon0_llcl_miss_0_0,mon0_null_0_0,mon0_null_0_0
18446744073709551458,18446744073709551552,18446744073709551571,0,0,0,0,0
104832,21341,52819,0,10719,1790,0,0
104832,21341,52819,0,10719,1790,0,0
600566,121576,151346,0,32931,3449,0,0
600566,121576,151346,0,32931,3449,0,0
756860,169128,217166,0,46829,3784,0,0
756860,169128,217166,0,46829,3784,0,0
908474,226059,279239,0,62892,4916,0,0
908474,226059,279239,0,62892,4916,0,0
1024016,250904,336732,0,74752,5023,0,0
1024016,250904,336732,0,74752,5023,0,0
1137855,272700,393282,0,85300,6441,0,0
1137855,272700,393282,0,85300,6441,0,0
1308572,327339,477595,0,103777,6658,0,0
1308572,327339,477595,0,103777,6658,0,0
1462834,382702,532079,0,117751,9482,0,0
1462834,382702,532079,0,117751,9482,0,0
1668135,500116,617891,0,138545,11932,0,0
1668135,500116,617891,0,138545,11932,0,0
1878911,599358,694418,0,161052,12648,0,0
1878911,599358,694418,0,161052,12648,0,0
2070898,698200,767416,0,171327,14374,0,0
2070898,698200,767416,0,171327,14374,0,0
2519782,948078,944770,0,204454,15517,0,0
2519782,948078,944770,0,204454,15517,0,0
2943100,1192959,1113923,0,245913,17498,0,0
2943100,1192959,1113923,0,245913,17498,0,0
3437507,1409958,1259620,0,276347,18290,0,0
3437507,1409958,1259620,0,276347,18290,0,0
4066877,1740353,1448326,0,316936,25315,0,0
4066877,1740353,1448326,0,316936,25315,0,0
4451589,1899441,1545650,0,344357,26896,0,0
4451589,1899441,1545650,0,344357,26896,0,0
4799578,2040008,1661321,0,368628,27242,0,0
4799578,2040008,1661321,0,368628,27242,0,0
5183163,2114209,2117010,0,388460,27971,0,0
5183163,2114209,2117010,0,388460,27971,0,0
5360259,2191029,2173049,0,406739,29354,0,0
5360259,2191029,2173049,0,406739,29354,0,0
5525126,2249876,2224393,0,422537,29768,0,0
5525126,2249876,2224393,0,422537,29768,0,0
5644733,2273036,2266137,0,433582,30726,0,0
5644733,2273036,2266137,0,433582,30726,0,0
5786514,2303914,2310661,0,445517,30922,0,0
5786514,2303914,2310661,0,445517,30922,0,0
5927046,2339615,2362406,0,454571,31664,0,0
5927046,2339615,2362406,0,454571,31664,0,0
6051267,2401521,2412956,0,467365,47225,0,0
6051267,2401521,2412956,0,467365,47225,0,0
6182880,2462188,2465525,0,481994,48000,0,0
6182880,2462188,2465525,0,481994,48000,0,0
6294845,2487957,2505534,0,493211,48902,0,0
6294845,2487957,2505534,0,493211,48902,0,0
6492023,2513098,2602726,0,505132,49296,0,0
6492023,2513098,2602726,0,505132,49296,0,0
6661975,2611602,2645197,0,520487,49987,0,0
6661975,2611602,2645197,0,520487,49987,0,0
6803620,2659536,2678200,0,529151,55627,0,0
6803620,2659536,2678200,0,529151,55627,0,0
6917007,2686657,2733712,0,539616,55711,0,0
6917007,2686657,2733712,0,539616,55711,0,0
7037260,2730529,2779645,0,551547,56165,0,0
7037260,2730529,2779645,0,551547,56165,0,0
7151453,2743535,2821856,0,558944,56185,0,0
7151453,2743535,2821856,0,558944,56185,0,0
7281963,2773610,2850869,0,570332,56349,0,0
7281963,2773610,2850869,0,570332,56349,0,0
