mon0_tatal_stall_0_0,mon0_all_dram_rds_0_0,mon0_l2stall_0_0,mon0_snoop_fw_wb_0_0,mon0_llcl_hits_0_0,mon0_llcl_miss_0_0,mon0_null_0_0,mon0_null_0_0
18446744073709545124,18446744073709550759,18446744073709550896,0,18446744073709551122,0,0,0
289097,60143,50007,0,11659,234,0,0
289097,60143,50007,0,11659,234,0,0
895141,381413,234555,0,53485,5634,0,0
895141,381413,234555,0,53485,5634,0,0
1182319,534588,319602,0,78483,6975,0,0
1182319,534588,319602,0,78483,6975,0,0
1332334,612109,388914,0,95903,8704,0,0
1332334,612109,388914,0,95903,8704,0,0
1524954,743626,447823,0,120646,10177,0,0
1524954,743626,447823,0,120646,10177,0,0
1657440,790041,477539,0,135064,11781,0,0
1657440,790041,477539,0,135064,11781,0,0
1825502,856286,526053,0,151498,11842,0,0
1825502,856286,526053,0,151498,11842,0,0
2007807,945486,579995,0,167816,12905,0,0
2007807,945486,579995,0,167816,12905,0,0
2132702,997825,624940,0,184381,13394,0,0
2132702,997825,624940,0,184381,13394,0,0
2254072,1047422,676071,0,198593,13489,0,0
2254072,1047422,676071,0,198593,13489,0,0
2412209,1139593,745370,0,218294,14726,0,0
2412209,1139593,745370,0,218294,14726,0,0
2604204,1189645,827286,0,232230,15111,0,0
2604204,1189645,827286,0,232230,15111,0,0
2754810,1267145,901598,0,248718,16429,0,0
2754810,1267145,901598,0,248718,16429,0,0
2841969,1277300,923691,0,251966,16451,0,0
2841969,1277300,923691,0,251966,16451,0,0
3177677,1308607,953962,0,257517,16897,0,0
3177677,1308607,953962,0,257517,16897,0,0
3267339,1360550,983710,0,268319,17080,0,0
3267339,1360550,983710,0,268319,17080,0,0
3371267,1396290,1041883,0,278349,18293,0,0
3371267,1396290,1041883,0,278349,18293,0,0
3464334,1417246,1098011,0,285429,18488,0,0
3464334,1417246,1098011,0,285429,18488,0,0
3527990,1434720,1133689,0,289369,18940,0,0
3527990,1434720,1133689,0,289369,18940,0,0
3569986,1457418,1167272,0,293390,19472,0,0
3569986,1457418,1167272,0,293390,19472,0,0
3625256,1476860,1191431,0,300840,19487,0,0
3625256,1476860,1191431,0,300840,19487,0,0
3675637,1491003,1217597,0,305749,19507,0,0
3675637,1491003,1217597,0,305749,19507,0,0
3838654,1598634,1296486,0,330074,19878,0,0
3838654,1598634,1296486,0,330074,19878,0,0
3917177,1639683,1340997,0,339342,19975,0,0
3917177,1639683,1340997,0,339342,19975,0,0
4065038,1717243,1411367,0,357905,20779,0,0
4065038,1717243,1411367,0,357905,20779,0,0
4182820,1763101,1455332,0,365643,21935,0,0
4182820,1763101,1455332,0,365643,21935,0,0
4279799,1822449,1493376,0,372982,23952,0,0
4279799,1822449,1493376,0,372982,23952,0,0
4391154,1903772,1546002,0,382654,24709,0,0
4391154,1903772,1546002,0,382654,24709,0,0
4624149,2029441,1615687,0,407498,25436,0,0
4624149,2029441,1615687,0,407498,25436,0,0
4832160,2140851,1705223,0,420992,28110,0,0
