size,time
1,573272914
2,825336584
4,768754459
8,703425080
16,709040475
32,655947333
64,600494000
128,567721890
256,553055176
1,571163384
2,824770436
4,762871778
8,699754342
16,708713582
32,656209872
64,598827872
128,567307253
256,553048838
1,571047284
2,823592514
4,767710916
8,698927525
16,710153937
32,656355947
64,599155705
128,567445750
256,553205255
1,572356609
2,825188374
4,777334916
8,698532470
16,711956586
32,655772953
64,599626883
128,567632841
256,553075615
1,577841129
2,825278111
4,770564400
8,699122969
16,708334395
32,656077940
64,598934774
128,567206152
256,553055165
1,570777683
2,824389578
4,766378037
8,698933021
16,707694573
32,655764463
64,598980541
128,567224279
256,553093559
1,571332021
2,824370131
4,762454336
8,703408522
16,708053244
32,655754145
64,598940541
128,567058237
256,553210448
1,572151927
2,824923710
4,770092474
8,704337283
16,706482509
32,655795643
64,598895879
128,566939532
256,553033301
1,574249085
2,826394327
4,785798208
8,699420624
16,707273330
32,655754531
64,598534209
128,566761679
256,553131970
1,571773193
2,826225351
4,770431673
8,707583145
16,709071079
32,655818745
64,598462719
128,566985555
256,553070436
1,573056986
2,827255506
4,766900556
8,697959272
16,708389220
32,655725640
64,599087894
128,567305592
256,553693177
1,573601312
2,825443686
4,768389660
8,698462770
16,708213899
32,655806485
64,599085792
128,567028347
256,553640341
1,571967190
2,823942477
4,771461947
8,702787108
16,707215273
32,656007948
64,598451805
128,567547858
256,553163920
1,571880374
2,824837790
4,764222196
8,703713911
16,707189990
32,655850029
64,599104786
128,568340775
256,552730053
1,572697763
2,825505298
4,775484420
8,703258118
16,709673128
32,655777476
64,600735649
128,567175031
256,553166561
1,571998988
2,825183265
4,763419840
8,703050614
16,707072163
32,655807691
64,600109497
128,567435627
256,553137414
1,572065416
2,825080032
4,772653909
8,698414976
16,707644995
32,655897408
64,598675163
128,568116883
256,553093979
1,572106394
2,824275279
4,768262881
8,703677076
16,707507634
32,656195447
64,599340240
128,566961355
256,553155716
1,571336178
2,825283098
4,783880591
8,703631022
16,715608791
32,655842108
64,598479168
128,566990504
256,553110757
1,571544959
2,823628255
4,761679524
8,698712622
16,709782621
32,655798459
64,598796585
128,567409723
256,553125564
1,572119598
2,824277953
4,768714648
8,703814251
16,707711827
32,655849065
64,598480216
128,566729623
256,553023211
1,571382208
2,826242702
4,766845584
8,699638112
16,709447841
32,655800580
64,598443186
128,566838805
256,553060237
1,572014428
2,825960293
4,774799194
8,698157531
16,707097766
32,655882202
64,598819951
128,567456157
256,553068252
1,572022528
2,826260223
4,777400304
8,698575110
16,708646055
32,655794536
64,599098251
128,567864660
256,553026741
1,571799116
2,826068836
4,773369701
8,702501734
16,708187903
32,655805133
64,599125103
128,567180189
256,553282238
