graph,N,device_fraction,method,method_name,median_us,p25_us,p75_us,snoop_hits,snoop_misses,coh_reqs,back_inv,writebacks,evictions,bias_flips,dev_bias_hits,host_bias_hits,dir_entries,log
erdos_renyi,50,0.25,A,pointer-sharing,0,0,1,0,0,0,0,0,0,0,0,0,4146,rq1_N50.stdout.log
erdos_renyi,50,0.25,B,copy-based,24813,24614,25184,0,0,25,0,12,53,0,0,0,4096,rq1_N50.stdout.log
erdos_renyi,50,0.5,A,pointer-sharing,0,0,1,0,0,0,0,0,0,0,0,0,4146,rq1_N50.stdout.log
erdos_renyi,50,0.5,B,copy-based,24699,24611,25437,0,0,24,0,12,53,0,0,0,4096,rq1_N50.stdout.log
erdos_renyi,50,0.75,A,pointer-sharing,0,0,1,0,0,0,0,0,0,0,0,0,4146,rq1_N50.stdout.log
erdos_renyi,50,0.75,B,copy-based,24665,24526,25276,0,0,24,0,12,53,0,0,0,4096,rq1_N50.stdout.log
erdos_renyi,50,1.0,A,pointer-sharing,0,0,1,0,0,0,0,0,0,0,0,0,4146,rq1_N50.stdout.log
erdos_renyi,50,1.0,B,copy-based,24744,24671,25319,0,0,24,0,12,53,0,0,0,4096,rq1_N50.stdout.log
barabasi_albert,50,0.0,A,pointer-sharing,0,0,2,0,0,0,0,0,0,0,0,0,4146,rq1_N50.stdout.log
barabasi_albert,50,0.0,B,copy-based,24831,24701,25359,0,0,72,0,36,53,0,0,0,4096,rq1_N50.stdout.log
barabasi_albert,50,0.25,A,pointer-sharing,0,0,1,0,0,90,0,0,0,0,0,0,4146,rq1_N50.stdout.log
barabasi_albert,50,0.25,B,copy-based,24891,24706,25345,0,0,72,0,36,53,0,0,0,4096,rq1_N50.stdout.log
barabasi_albert,50,0.5,A,pointer-sharing,0,0,1,0,0,0,0,0,0,0,0,0,4146,rq1_N50.stdout.log
barabasi_albert,50,0.5,B,copy-based,24851,24639,25393,0,0,72,0,36,53,0,0,0,4096,rq1_N50.stdout.log
barabasi_albert,50,0.75,A,pointer-sharing,0,0,1,0,0,0,0,0,0,0,0,0,4146,rq1_N50.stdout.log
barabasi_albert,50,0.75,B,copy-based,24821,24799,25263,0,0,72,0,36,53,0,0,0,4096,rq1_N50.stdout.log
barabasi_albert,50,1.0,A,pointer-sharing,0,0,1,0,0,0,0,0,0,0,0,0,4146,rq1_N50.stdout.log
barabasi_albert,50,1.0,B,copy-based,25330,25201,27527,0,0,72,0,36,53,0,0,0,4096,rq1_N50.stdout.log
