cache_size,cache_bytes,graph,N,device_fraction,method,method_name,median_us,p25_us,p75_us,throughput_nodes_per_s,log
16M,16777216,erdos_renyi,2000,0.75,A,pointer-sharing,45,42,48,44444444.44444445,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/16M/runs/rq1_N2000.stdout.log
16M,16777216,erdos_renyi,2000,0.75,B,copy-based,1030930,999777,1044651,1939.9959260085554,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/16M/runs/rq1_N2000.stdout.log
16M,16777216,erdos_renyi,2000,1.0,A,pointer-sharing,45,42,53,44444444.44444445,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/16M/runs/rq1_N2000.stdout.log
16M,16777216,erdos_renyi,2000,1.0,B,copy-based,1032911,1008413,1032946,1936.2752453986839,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/16M/runs/rq1_N2000.stdout.log
16M,16777216,barabasi_albert,2000,0.0,A,pointer-sharing,45,43,51,44444444.44444445,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/16M/runs/rq1_N2000.stdout.log
16M,16777216,barabasi_albert,2000,0.0,B,copy-based,1065221,974090,1078339,1877.544659746663,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/16M/runs/rq1_N2000.stdout.log
16M,16777216,barabasi_albert,2000,0.25,A,pointer-sharing,45,43,53,44444444.44444445,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/16M/runs/rq1_N2000.stdout.log
16M,16777216,barabasi_albert,2000,0.25,B,copy-based,1016684,995245,1030734,1967.1795759547706,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/16M/runs/rq1_N2000.stdout.log
16M,16777216,barabasi_albert,2000,0.5,A,pointer-sharing,45,43,59,44444444.44444445,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/16M/runs/rq1_N2000.stdout.log
16M,16777216,barabasi_albert,2000,0.5,B,copy-based,1012454,996930,1038623,1975.3983884699946,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/16M/runs/rq1_N2000.stdout.log
16M,16777216,barabasi_albert,2000,0.75,A,pointer-sharing,45,43,49,44444444.44444445,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/16M/runs/rq1_N2000.stdout.log
16M,16777216,barabasi_albert,2000,0.75,B,copy-based,967789,963842,981450,2066.5661626656224,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/16M/runs/rq1_N2000.stdout.log
16M,16777216,barabasi_albert,2000,1.0,A,pointer-sharing,45,43,59,44444444.44444445,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/16M/runs/rq1_N2000.stdout.log
16M,16777216,barabasi_albert,2000,1.0,B,copy-based,968032,961932,1006987,2066.0474033916234,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/16M/runs/rq1_N2000.stdout.log
256M,268435456,erdos_renyi,2000,0.0,A,pointer-sharing,44,41,52,45454545.45454545,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/256M/runs/rq1_N2000.stdout.log
256M,268435456,erdos_renyi,2000,0.0,B,copy-based,951397,943296,953668,2102.171858855977,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/256M/runs/rq1_N2000.stdout.log
256M,268435456,erdos_renyi,2000,0.25,A,pointer-sharing,51,45,57,39215686.2745098,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/256M/runs/rq1_N2000.stdout.log
256M,268435456,erdos_renyi,2000,0.25,B,copy-based,950578,946741,951301,2103.9830503125468,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/256M/runs/rq1_N2000.stdout.log
256M,268435456,erdos_renyi,2000,0.5,A,pointer-sharing,44,42,57,45454545.45454545,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/256M/runs/rq1_N2000.stdout.log
256M,268435456,erdos_renyi,2000,0.5,B,copy-based,952156,950249,1040665,2100.496137187604,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/256M/runs/rq1_N2000.stdout.log
256M,268435456,erdos_renyi,2000,0.75,A,pointer-sharing,44,42,49,45454545.45454545,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/256M/runs/rq1_N2000.stdout.log
256M,268435456,erdos_renyi,2000,0.75,B,copy-based,952657,950200,952778,2099.3914913762246,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/256M/runs/rq1_N2000.stdout.log
256M,268435456,erdos_renyi,2000,1.0,A,pointer-sharing,45,42,56,44444444.44444445,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/256M/runs/rq1_N2000.stdout.log
256M,268435456,erdos_renyi,2000,1.0,B,copy-based,952853,952735,955763,2098.9596506491557,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/256M/runs/rq1_N2000.stdout.log
