gpu_count,graph,N,device_fraction,method,method_name,median_us,p25_us,p75_us,throughput_nodes_per_s,log
7,barabasi_albert,2000,0.25,A,pointer-sharing,45,43,51,44444444.44444445,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n7/runs/rq1_N2000.stdout.log
7,barabasi_albert,2000,0.25,B,copy-based,951649,948321,963981,2101.615196359162,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n7/runs/rq1_N2000.stdout.log
7,barabasi_albert,2000,0.5,A,pointer-sharing,45,43,51,44444444.44444445,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n7/runs/rq1_N2000.stdout.log
7,barabasi_albert,2000,0.5,B,copy-based,950689,948796,970520,2103.7373946684984,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n7/runs/rq1_N2000.stdout.log
7,barabasi_albert,2000,0.75,A,pointer-sharing,45,43,49,44444444.44444445,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n7/runs/rq1_N2000.stdout.log
7,barabasi_albert,2000,0.75,B,copy-based,950039,948430,982176,2105.1767348498324,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n7/runs/rq1_N2000.stdout.log
7,barabasi_albert,2000,1.0,A,pointer-sharing,45,44,52,44444444.44444445,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n7/runs/rq1_N2000.stdout.log
7,barabasi_albert,2000,1.0,B,copy-based,952765,951729,978963,2099.153516344534,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n7/runs/rq1_N2000.stdout.log
8,erdos_renyi,2000,0.0,A,pointer-sharing,44,42,53,45454545.45454545,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n8/runs/rq1_N2000.stdout.log
8,erdos_renyi,2000,0.0,B,copy-based,983109,967534,1036989,2034.362415561245,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n8/runs/rq1_N2000.stdout.log
8,erdos_renyi,2000,0.25,A,pointer-sharing,43,40,61,46511627.906976745,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n8/runs/rq1_N2000.stdout.log
8,erdos_renyi,2000,0.25,B,copy-based,999563,985386,1079262,2000.87438210498,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n8/runs/rq1_N2000.stdout.log
8,erdos_renyi,2000,0.5,A,pointer-sharing,44,41,58,45454545.45454545,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n8/runs/rq1_N2000.stdout.log
8,erdos_renyi,2000,0.5,B,copy-based,967490,965007,991221,2067.2048289904806,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n8/runs/rq1_N2000.stdout.log
8,erdos_renyi,2000,0.75,A,pointer-sharing,44,41,49,45454545.45454545,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n8/runs/rq1_N2000.stdout.log
8,erdos_renyi,2000,0.75,B,copy-based,962999,961755,978633,2076.8453549796,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n8/runs/rq1_N2000.stdout.log
8,erdos_renyi,2000,1.0,A,pointer-sharing,44,42,54,45454545.45454545,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n8/runs/rq1_N2000.stdout.log
8,erdos_renyi,2000,1.0,B,copy-based,961985,961179,976226,2079.034496379881,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n8/runs/rq1_N2000.stdout.log
8,barabasi_albert,2000,0.0,A,pointer-sharing,45,44,51,44444444.44444445,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n8/runs/rq1_N2000.stdout.log
8,barabasi_albert,2000,0.0,B,copy-based,959191,959028,959931,2085.0904564367265,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n8/runs/rq1_N2000.stdout.log
8,barabasi_albert,2000,0.25,A,pointer-sharing,45,43,51,44444444.44444445,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n8/runs/rq1_N2000.stdout.log
8,barabasi_albert,2000,0.25,B,copy-based,973570,960428,1076058,2054.2950173074355,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n8/runs/rq1_N2000.stdout.log
8,barabasi_albert,2000,0.5,A,pointer-sharing,45,44,51,44444444.44444445,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n8/runs/rq1_N2000.stdout.log
8,barabasi_albert,2000,0.5,B,copy-based,962892,959430,973678,2077.0761414571934,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n8/runs/rq1_N2000.stdout.log
8,barabasi_albert,2000,0.75,A,pointer-sharing,45,44,49,44444444.44444445,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n8/runs/rq1_N2000.stdout.log
8,barabasi_albert,2000,0.75,B,copy-based,999123,993431,999209,2001.7555396082364,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n8/runs/rq1_N2000.stdout.log
8,barabasi_albert,2000,1.0,A,pointer-sharing,45,43,56,44444444.44444445,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n8/runs/rq1_N2000.stdout.log
8,barabasi_albert,2000,1.0,B,copy-based,988711,978286,994892,2022.8357932702277,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n8/runs/rq1_N2000.stdout.log
