cache_size,cache_bytes,graph,N,device_fraction,method,method_name,median_us,p25_us,p75_us,throughput_nodes_per_s,log
1M,1048576,erdos_renyi,100000,0.5,A,pointer-sharing,6687,5887,9073,14954389.113204725,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/1M/runs/rq1_N100000.stdout.log
1M,1048576,erdos_renyi,100000,1.0,A,pointer-sharing,5175,5124,5463,19323671.49758454,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/1M/runs/rq1_N100000.stdout.log
1M,1048576,barabasi_albert,100000,0.0,A,pointer-sharing,5440,5286,5953,18382352.94117647,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/1M/runs/rq1_N100000.stdout.log
1M,1048576,barabasi_albert,100000,0.5,A,pointer-sharing,4014,4002,4557,24912805.18186348,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/1M/runs/rq1_N100000.stdout.log
1M,1048576,barabasi_albert,100000,1.0,A,pointer-sharing,5505,5339,6054,18165304.268846504,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/1M/runs/rq1_N100000.stdout.log
1M,1048576,erdos_renyi,50000,0.0,A,pointer-sharing,2911,2706,3337,17176228.10030917,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/1M/runs/rq1_N50000.stdout.log
1M,1048576,erdos_renyi,50000,0.5,A,pointer-sharing,2673,2641,2833,18705574.261129815,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/1M/runs/rq1_N50000.stdout.log
1M,1048576,erdos_renyi,50000,1.0,A,pointer-sharing,3197,3085,3392,15639662.18329684,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/1M/runs/rq1_N50000.stdout.log
1M,1048576,barabasi_albert,50000,0.0,A,pointer-sharing,2215,2015,2631,22573363.43115124,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/1M/runs/rq1_N50000.stdout.log
1M,1048576,barabasi_albert,50000,0.5,A,pointer-sharing,1759,1687,2083,28425241.614553723,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/1M/runs/rq1_N50000.stdout.log
1M,1048576,barabasi_albert,50000,1.0,A,pointer-sharing,1944,1926,2279,25720164.609053496,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/1M/runs/rq1_N50000.stdout.log
2M,2097152,erdos_renyi,100000,0.0,A,pointer-sharing,8368,7212,8642,11950286.806883365,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/2M/runs/rq1_N100000.stdout.log
2M,2097152,erdos_renyi,100000,0.5,A,pointer-sharing,6614,6446,8125,15119443.604475355,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/2M/runs/rq1_N100000.stdout.log
2M,2097152,erdos_renyi,100000,1.0,A,pointer-sharing,6813,6708,7289,14677821.811243212,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/2M/runs/rq1_N100000.stdout.log
2M,2097152,barabasi_albert,100000,0.0,A,pointer-sharing,7016,7002,7382,14253135.689851768,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/2M/runs/rq1_N100000.stdout.log
2M,2097152,barabasi_albert,100000,0.5,A,pointer-sharing,5196,5185,5783,19245573.51809084,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/2M/runs/rq1_N100000.stdout.log
